"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:59:58,FALSE,NA,"1107793802444574720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Peachorino",7153,TRUE,FALSE,NA,NA
"2","RT @AP: The Trump administration is proposing new limits on student borrowing as part of a broader plan to curb the cost of college. The pl…",FALSE,0,NA,2019-03-18 23:59:57,FALSE,NA,"1107793796337684481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LotoBoho",1485,TRUE,FALSE,NA,NA
"3","@SethAbramson @USATODAY had an article today saying the majority of Americans now think Mueller is treating Trump u… https://t.co/I6NttkGXDz",FALSE,1,"SethAbramson",2019-03-18 23:59:56,TRUE,"1107665048028237826","1107793793430876160","3223426134","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moosedog66W",0,FALSE,FALSE,NA,NA
"4","RT @KhaledBeydoun: Why is Trump denying the rise in White Supremacy?  3 Primary Reasons.

1) He doesn't want to alienate a large segment of…",FALSE,0,NA,2019-03-18 23:59:56,FALSE,NA,"1107793790834757632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ayshamoolla",539,TRUE,FALSE,NA,NA
"5","RT @Boba_Tea_Catan: Please read this statement from @TheArcAlliance about how the proposed budget from the White House puts people with dis…",FALSE,0,NA,2019-03-18 23:59:54,FALSE,NA,"1107793784530763776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","debsomewhere",8,TRUE,FALSE,NA,NA
"6","RT @TheBeatWithAri: .@AOC is using Instagram live to ""expose what she calls the Trump administration's effort to manipulate the census and…",FALSE,0,NA,2019-03-18 23:59:51,FALSE,NA,"1107793771515858945",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AfroStateOfMind",163,TRUE,FALSE,NA,NA
"7","RT @ChelseaClinton: Another disappointing though not surprising move by the Trump administration to dilute U.S. support for women's rights…",FALSE,0,NA,2019-03-18 23:59:51,FALSE,NA,"1107793770995564545",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","babyspittle",1215,TRUE,FALSE,NA,NA
"8","RT @HillaryClinton: An administration's budget says a lot about what—and, more importantly, who—it values. 

So let's talk about the Trump…",FALSE,0,NA,2019-03-18 23:59:50,FALSE,NA,"1107793765744431104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sayerplayer",7432,TRUE,FALSE,NA,NA
"9","RT @NBCNews: Opinion | Ben Crump: ""Americans should want to replace President Andrew Jackson, a former slave owner, with the picture of a w…",FALSE,0,NA,2019-03-18 23:59:49,FALSE,NA,"1107793763315970049",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrendaSchory",134,TRUE,FALSE,NA,NA
"10","RT @TheBeatWithAri: .@AOC is using Instagram live to ""expose what she calls the Trump administration's effort to manipulate the census and…",FALSE,0,NA,2019-03-18 23:59:49,FALSE,NA,"1107793762669854720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","azwildcatsfan",163,TRUE,FALSE,NA,NA
"11","Trump team wants to screw over college students who depend on work study https://t.co/m8uvw0U7MM",FALSE,0,NA,2019-03-18 23:59:49,FALSE,NA,"1107793761449345025",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Lmo66Olson",1,FALSE,FALSE,NA,NA
"12","RT @wikileaks: The 'Assange Precedent': How the Trump administration is using its case against WikiLeaks as an 'icebreaker' that will crush…",FALSE,0,NA,2019-03-18 23:59:48,FALSE,NA,"1107793760467992576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RDev74147",606,TRUE,FALSE,NA,NA
"13","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:59:48,FALSE,NA,"1107793757477453824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ibedodie",7153,TRUE,FALSE,NA,NA
"14","RT @faberdp: @kylegriffin1 @AOC Well that’s great, but the House should be holding non-stop hearings on corruption and collusion inside the…",FALSE,0,NA,2019-03-18 23:59:47,FALSE,NA,"1107793754319024130",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VQiinn",2,TRUE,FALSE,NA,NA
"15","RT @RepMarkMeadows: Michael Cohen lied about seeking a pardon from President Trump. He lied about wanting to work in President Trump's admi…",FALSE,0,NA,2019-03-18 23:59:47,FALSE,NA,"1107793754142969857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnneLouisianne",7153,TRUE,FALSE,NA,NA
