"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @jaketapper: Trump is removing US Secret Service director - CNNPolitics https://t.co/Fs2C5kLgH9",FALSE,0,NA,2019-04-08 23:59:59,FALSE,NA,"1115403951556288514",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ceciliaannh",1304,TRUE,FALSE,NA,NA
"2","RT @RuthNewportWest: I am deeply honoured and humbled to be sworn in as the Member of Parliament for Newport West.

I will represent you to…",FALSE,0,NA,2019-04-08 23:59:59,FALSE,NA,"1115403949748707329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","matthew_shoul",412,TRUE,FALSE,NA,NA
"3","RT @samdastyari: I resigned for less. https://t.co/qE6X5HPl3T",FALSE,0,NA,2019-04-08 23:59:59,FALSE,NA,"1115403949551394818",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","missingdigits17",1204,TRUE,FALSE,NA,NA
"4","RT @justinjm1: Trump told border agents to break U.S. law and defy judicial orders https://t.co/Mq2yyX42Mo https://t.co/AYi6B4lNMz",FALSE,0,NA,2019-04-08 23:59:59,FALSE,NA,"1115403948616105985",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SeanBradbery",5385,TRUE,FALSE,NA,NA
"5","The loony 9th circuit strikes again

https://t.co/ZaSZ6pSIJW",FALSE,0,NA,2019-04-08 23:59:59,FALSE,NA,"1115403948381413377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blumga",0,FALSE,FALSE,NA,NA
"6","RT @JeffreyToobin: .@JeffreyToobin calls Trump “the great reputation killer.”

Kirstjen Nielsen “was a reasonably admired bureaucrat. For t…",FALSE,0,NA,2019-04-08 23:59:58,FALSE,NA,"1115403947303481344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nickiflorida",5516,TRUE,FALSE,NA,NA
"7","RT @CNN: JUST IN: A federal judge in California blocked the Trump administration's policy of returning some asylum seekers to Mexico to awa…",FALSE,0,NA,2019-04-08 23:59:58,FALSE,NA,"1115403946850443266",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","katcomin",317,TRUE,FALSE,NA,NA
"8","RT @AdamSerwer: Nielsen, a DHS secretary who implemented a deliberate policy of systemic child abuse, is fired from the Trump administratio…",FALSE,0,NA,2019-04-08 23:59:58,FALSE,NA,"1115403946388938752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leighwhite",993,TRUE,FALSE,NA,NA
"9","RT @Bishop64: Special treatment and a one-on-one lunch with Peter Dutton: how Huang lobbied for a visa. https://t.co/Uz8cjuviID via @smh",FALSE,0,NA,2019-04-08 23:59:58,FALSE,NA,"1115403946175094789",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seQular_left",10,TRUE,FALSE,NA,NA
"10","RT @patanna: Brexit: Michael Gove admits farmers may never recover from no-deal
Good old Michael <U+0001F92E> https://t.co/z0i1i1GqiG",FALSE,0,NA,2019-04-08 23:59:58,FALSE,NA,"1115403946162565120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Gregorgregormac",142,TRUE,FALSE,NA,NA
"11","RT @Datoism: Hey @Google you have a search result issue. The number one result @BernieSanders on rolling store article is not displayed in…",FALSE,0,NA,2019-04-08 23:59:58,FALSE,NA,"1115403945004949504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DinahBernista",88,TRUE,FALSE,NA,NA
